director_name,genres,movie_title,actor_1_name,actor_2_name,actor_3_name
John Boorman,Drama Thriller,the tailor of panama,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis
Brian De Palma,Mystery Thriller,blow out,Nancy Allen,Dennis Franz,John McMartin
Courtney Solomon,Action Crime Thriller,getaway,Rebecca Budig,Paul Freeman,Bruce Payne
Ang Lee,Drama,the ice storm,Joan Allen,Kate Burton,Henry Czerny
Rob Reiner,Comedy Drama Romance,and so it goes,Yaya DaCosta,Annie Parisse,Frankie Valli
Jeff Kanew,Adventure Comedy,troop beverly hills,Craig T. Nelson,Shelley Long,Kellie Martin
István Szabó,Comedy Drama Romance,being julia,Miriam Margolyes,Shaun Evans,Juliet Stevenson
Adrian Lyne,Drama Romance,9½ weeks,David Margulies,Karen Young,Kim Chan
Matthew Robbins,Action Adventure Fantasy,dragonslayer,Ian McDiarmid,Ralph Richardson,Albert Salmi
Michael Hoffman,Biography Drama Romance,the last station,David Masterson,Kerry Condon,Anne-Marie Duff
Tim Burton,Biography Comedy Drama,ed wood,Johnny Depp,Bill Murray,Martin Landau
Jason Reitman,Drama,labor day,J.K. Simmons,Kate Winslet,Brooke Smith
Sergey Bodrov,Adventure Biography Drama History War,mongol: the rise of genghis khan,Tadanobu Asano,Khulan Chuluun,Honglei Sun
Guy Ritchie,Action Crime Thriller,rocknrolla,Tom Hardy,Gerard Butler,Tom Wilkinson
Hal Needham,Action Sci-Fi,megaforce,Barry Bostwick,Michael Beck,Henry Silva
Kenneth Branagh,Drama,hamlet,Julie Christie,Brian Blessed,Richard Briers
Bruce Beresford,Biography Drama Music Romance,mao's last dancer,Bruce Greenwood,Suzie Steen,Aden Young
Jeff Nichols,Adventure Drama Sci-Fi Thriller,midnight special,Kirsten Dunst,Sam Shepard,Paul Sparks
Woody Allen,Comedy Romance,anything else,Woody Allen,Stockard Channing,Fisher Stevens
Jonathan Teplitzky,Biography Drama Romance War,the railway man,Jeremy Irvine,Colin Firth,Sam Reid
unknown,Drama Mystery,unforgettable            ,Poppy Montgomery,Dylan Walsh,Dallas Roberts
Michael Haneke,Drama Mystery,the white ribbon,Ulrich Tukur,Burghart Klaußner,Leonie Benesch
Zack Ward,Horror,restoration,Zack Ward,Anna Harr,James Cullen Bressack
Mike Marvin,Action Horror Romance Sci-Fi Thriller,the wraith,Clint Howard,Randy Quaid,Nick Cassavetes
D.J. Caruso,Crime Drama Mystery Thriller,the salton sea,Adam Goldberg,Meat Loaf,Anthony LaPaglia
Nimród Antal,Music,metallica through the never,James Hetfield,Mackenzie Gray,Lars Ulrich
Gregor Jordan,Crime Drama Thriller,the informers,Austin Nichols,Brad Renfro,Lou Taylor Pucci
unknown,Biography Crime Drama Thriller,carlos            ,Edgar Ramírez,Nora von Waldstätten,Katharina Schüttler
Tran Anh Hung,Thriller,i come with the rain,Takuya Kimura,Simón Andreu,Shawn Yue
Lance Hool,Action Drama History Romance War Western,one man's hero,Tom Berenger,Joaquim de Almeida,Mark Moses
George A. Romero,Horror,day of the dead,Greg Nicotero,John Amplas,Joseph Pilato
Chuck Russell,Action Crime Drama Thriller,i am wrath,Sam Trammell,Rebecca De Mornay,Amanda Schull
Christian Volckman,Action Animation Sci-Fi Thriller,renaissance,Romola Garai,Catherine McCormack,Kevork Malikyan
Jon Cassar,Drama Western,forsaken,Demi Moore,Landon Liboiron,Michael Wincott
Richard Fleischer,Action Adventure Fantasy,red sonja,Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman
Rodrigo Cortés,Drama Horror Mystery Thriller,red lights,Robert De Niro,Toby Jones,Craig Roberts
Greg Mottola,Comedy,superbad,Emma Stone,Joe Lo Truglio,Kevin Corrigan
Tyler Perry,Comedy Crime Drama,madea goes to jail,Vanessa Ferlito,Keshia Knight Pulliam,Derek Luke
David Hayter,Action Horror,wolves,Jason Momoa,Jennifer Hale,Stephen McHattie
Jon M. Chu,Drama Music Musical Romance,step up 2: the streets,Cassie Ventura,Mari Koda,Luis Rosado
Cory Edwards,Action Animation Comedy Crime Family,hoodwinked!,Anne Hathaway,Chazz Palminteri,Jim Belushi
Terry George,Drama History War,hotel rwanda,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim
Xavier Gens,Action Crime Drama Thriller,hitman,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen
Kasi Lemmons,Drama Family Music Musical,black nativity,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall
Brian A Miller,Action Thriller,the prince,Bruce Willis,50 Cent,Jessica Lowndes
Matt Dillon,Crime Drama Thriller,city of ghosts,Kirk Fox,Shawn Andrews,Rob Campbell
Alejandro Amenábar,Fantasy Horror Thriller,the others,Fionnula Flanagan,Elaine Cassidy,Eric Sykes
James Cameron,Action Adventure Sci-Fi,aliens,Michael Biehn,Carrie Henn,Jenette Goldstein
George Cukor,Drama Family Musical Romance,my fair lady,Jeremy Brett,Rex Harrison,Theodore Bikel
Jim Gillespie,Horror Mystery Thriller,i know what you did last summer,Muse Watson,Sarah Michelle Gellar,Anne Heche
Luke Greenfield,Comedy,let's be cops,Rob Riggle,Damon Wayans Jr.,James D'Arcy
Alexander Payne,Adventure Comedy Drama Romance,sideways,Virginia Madsen,Patrick Gallagher,M.C. Gainey
Jay Chandrasekhar,Comedy,beerfest,Chris Moss,Owain Yeoman,Jay Chandrasekhar
John Carpenter,Horror Thriller,halloween,Jamie Lee Curtis,Donald Pleasence,P.J. Soles
Yimou Zhang,Action Adventure History,hero,Jet Li,Tony Chiu Wai Leung,Maggie Cheung
John Hoffman,Comedy Drama Family Fantasy Sci-Fi,good boy!,Liam Aiken,Molly Shannon,Kevin Nealon
Malcolm D. Lee,Comedy Drama,the best man holiday,Harold Perrineau,Sanaa Lathan,Eddie Cibrian
Joe Carnahan,Action Crime Drama Thriller,smokin' aces,Ryan Reynolds,Common,Alex Rocco
Kevin Greutert,Horror Mystery,saw 3d: the final chapter,Costas Mandylor,Gina Holden,Betsy Russell
Michael Lehmann,Comedy Romance,40 days and 40 nights,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo
Joseph Kosinski,Action Adventure Sci-Fi,tron: legacy,Jeff Bridges,Olivia Wilde,James Frain
John Fortenberry,Comedy Music Romance,a night at the roxbury,Will Ferrell,Chris Kattan,Dan Hedaya
Daniel Barnz,Drama Fantasy Romance,beastly,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen
Alexandre Aja,Horror,the hills have eyes,Dan Byrd,Greg Nicotero,Vinessa Shaw
Sam Weisman,Comedy,dickie roberts: former child star,Kevin Grevioux,Jenna Boyd,Mary McCormack
Niki Caro,Biography Drama Sport,"mcfarland, usa",Morgan Saylor,Valente Rodriguez,Diana Maria Riva
Erik White,Comedy,lottery ticket,Brandon T. Jackson,Loretta Devine,Shad Moss
Chris Robinson,Comedy Crime Drama Music Romance,atl,T.I.,Adam Boyer,Malika
Jason Moore,Comedy Music Romance,pitch perfect,Anna Kendrick,Hana Mae Lee,Ben Platt
Michael Tollin,Comedy Drama Romance Sport,summer catch,Marc Blucas,Brian Dennehy,Bruce Davison
Sam Raimi,Crime Drama Thriller,a simple plan,Gary Cole,Bridget Fonda,Chelcie Ross
Robert Harmon,Horror Mystery Thriller,they,Alexander Gould,Ethan Embry,Marc Blucas
Trent Cooper,Comedy Romance,larry the cable guy: health inspector,Thomas F. Wilson,Larry the Cable Guy,Megyn Price
Gary Halvorson,Adventure Comedy Family Fantasy Musical,the adventures of elmo in grouchland,Vanessa Williams,Kevin Clash,Caroll Spinney
Antoine Fuqua,Crime Drama Thriller,brooklyn's finest,Don Cheadle,Lili Taylor,Armando Riesco
Nicholas Ray,Action Adventure Drama History War,55 days at peking,Ava Gardner,David Niven,John Ireland
Fede Alvarez,Horror,evil dead,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss
Donald Petrie,Comedy Romance,my life in ruins,Nia Vardalos,Harland Williams,Rachel Dratch
Paul Weitz,Comedy Music,american dreamz,Judy Greer,Dennis Quaid,Chris Klein
Sidney J. Furie,Action Adventure Family Sci-Fi,superman iv: the quest for peace,Jim Broadbent,Margot Kidder,William Hootkins
Ian Iqbal Rashid,Drama,how she move,DeRay Davis,Clé Bennett,Conrad Coates
Wayne Kramer,Action Crime Drama Thriller,running scared,Paul Walker,Chazz Palminteri,Ivana Milicevic
Rowdy Herrington,Biography Drama Romance Sport,bobby jones: stroke of genius,Aidan Quinn,Jeremy Northam,Paul Freeman
Jim Goddard,Adventure Crime Drama Romance,shanghai surprise,Victor Wong,Paul Freeman,Clyde Kusatsu
Neil Burger,Drama Mystery Romance Thriller,the illusionist,Rufus Sewell,Eddie Marsan,Jake Wood
Noel Marshall,Adventure Horror Thriller,roar,Tippi Hedren,Melanie Griffith,Zakes Mokae
Joel Schumacher,Biography Crime Drama Thriller,veronica guerin,Brenda Fricker,David Murray,Gerard McSorley
Andrea Di Stefano,Crime Drama Romance Thriller,escobar: paradise lost,Josh Hutcherson,Brady Corbet,Carlos Bardem
Richard Kelly,Comedy Mystery Sci-Fi Thriller,southland tales,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla
Guillaume Ivernel,Adventure Animation Family Fantasy,dragon hunters,Rob Paulsen,Jess Harnell,Mary Mouser
Jack Smight,Sci-Fi,damnation alley,George Peppard,Jan-Michael Vincent,Paul Winfield
Todd Lincoln,Horror Thriller,the apparition,Julianna Guill,Rick Gomez,Tim Williams
Howard Zieff,Comedy Drama Family Romance,my girl,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne
Steven Shainberg,Biography Drama Romance,fur: an imaginary portrait of diane arbus,Robert Downey Jr.,Ty Burrell,Matt Servitto
Neil Burger,Drama Mystery Romance Thriller,the illusionist,Rufus Sewell,Eddie Marsan,Jake Wood
Oliver Stone,Crime Drama,wall street,Hal Holbrook,Tamara Tunie,James Karen
Ang Lee,Drama Romance,sense and sensibility,Alan Rickman,Kate Winslet,Tom Wilkinson
Julian Jarrold,Biography Drama Romance,becoming jane,Anne Hathaway,Julie Walters,Laurence Fox
Joe Nussbaum,Comedy Romance,sydney white,Danny Strong,Matt Long,Samm Levine
Vadim Perelman,Drama,house of sand and fog,Frances Fisher,Kim Dickens,Ron Eldard
Peter Weir,Comedy Drama,dead poets society,Robin Williams,Josh Charles,Kurtwood Smith
Peter Farrelly,Comedy,dumb & dumber,Lauren Holly,Mike Starr,Teri Garr
Rob Reiner,Comedy Drama Romance,when harry met sally...,Bruno Kirby,Gretchen Palmer,Harley Jane Kozak
Sidney Lumet,Drama,the verdict,Charlotte Rampling,James Mason,Jack Warden
Todd Phillips,Comedy,road trip,Ethan Suplee,Rachel Blanchard,Paulo Costanzo
Brian Robbins,Comedy Drama Romance Sport,varsity blues,Paul Walker,Ron Lester,Mark Walters
Michel Hazanavicius,Comedy Drama Romance,the artist,Bérénice Bejo,Ed Lauter,Beth Grant
David S. Goyer,Drama Fantasy Horror Mystery Thriller,the unborn,Gary Oldman,Atticus Shaffer,Rachel Brosnahan
Wes Anderson,Adventure Comedy Drama Romance,moonrise kingdom,Bruce Willis,Bill Murray,Bob Balaban
Jonathan Liebesman,Horror,the texas chainsaw massacre: the beginning,Matt Bomer,Jordana Brewster,Lew Temple
Cyrus Nowrasteh,Drama,the young messiah,Clive Russell,Vincent Walsh,Finn Ireland
Perry Andelin Blake,Comedy Family,the master of disguise,Jennifer Esposito,Kenan Thompson,James Brolin
Guillermo del Toro,Drama Fantasy War,pan's labyrinth,Ivana Baquero,Maribel Verdú,Sergi López
unknown,Drama Fantasy Mystery Thriller,the messengers            ,Joel Courtney,Jessika Van,Riley Smith
John Whitesell,Action Comedy Crime Family,see spot run,Leslie Bibb,Angus T. Jones,Paul Sorvino
John Singleton,Crime Drama Romance Thriller,baby boy,Mo'Nique,Snoop Dogg,Angell Conwell
Christian E. Christiansen,Drama Horror Thriller,the roommate,Leighton Meester,Danneel Ackles,Frances Fisher
Dennie Gordon,Adventure Comedy Drama,joe dirt,Brittany Daniel,Erik Per Sullivan,Fred Ward
Sheldon Lettich,Action Crime,double impact,Bolo Yeung,Alonna Shaw,Kamel Krifa
Edgar Wright,Action Comedy Mystery,hot fuzz,Bill Bailey,Joe Cornish,Billie Whitelaw
Diane English,Comedy Drama,the women,Jada Pinkett Smith,Debi Mazar,Debra Messing
Woody Allen,Drama Romance,vicky cristina barcelona,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch
Peter Flinth,Action Adventure Drama Romance War,arn: the knight templar,Gustaf Skarsgård,Michael Nyqvist,Vincent Perez
Jon Lucas,Comedy,bad moms,Mila Kunis,Jay Hernandez,Jada Pinkett Smith
Robert Iscove,Comedy Drama Romance,boys and girls,Alyson Hannigan,Amanda Detmer,Tsianina Joelson
Peter Kosminsky,Drama,white oleander,Patrick Fugit,Cole Hauser,Marc Donato
Karyn Kusama,Comedy Fantasy Horror,jennifer's body,J.K. Simmons,Amy Sedaris,Cynthia Stevenson
Nick Gomez,Comedy Crime Mystery,drowning mona,Will Ferrell,Jamie Lee Curtis,Tracey Walter
Woody Allen,Comedy,radio days,Mike Starr,Don Pardo,Julie Kavner
Vic Armstrong,Action Drama Fantasy Mystery Thriller,left behind,Nicolas Cage,Lea Thompson,Quinton Aaron
Allen Coulter,Drama Romance,remember me,Robert Pattinson,Lena Olin,Ruby Jerins
Clare Kilner,Comedy Drama Romance,how to deal,Dylan Baker,Alexandra Holden,Trent Ford
Richard Benjamin,Comedy Romance Sci-Fi,my stepmother is an alien,Jon Lovitz,Alyson Hannigan,Tony Jay
Jonathan Demme,Drama,philadelphia,Denzel Washington,Tom Hanks,Jason Robards
Josef Rusnak,Mystery Sci-Fi Thriller,the thirteenth floor,Gretchen Mol,Craig Bierko,Brad William Henke
Lance Rivera,Comedy,the cookout,Farrah Fawcett,Vincent Pastore,Jenifer Lewis
Ronald Neame,Action Drama Sci-Fi Thriller,meteor,Martin Landau,Karl Malden,Brian Keith
Bruce Paltrow,Comedy Drama Music,duets,Lochlyn Munro,Marian Seldes,Huey Lewis
Woody Allen,Comedy Romance,hollywood ending,Woody Allen,Debra Messing,Treat Williams
Adam Rifkin,Comedy Music,detroit rock city,Natasha Lyonne,Lin Shaye,Shannon Tweed
Russell Mulcahy,Action Adventure Fantasy,highlander,Christopher Lambert,Jon Polito,Celia Imrie
Susanne Bier,Drama,things we lost in the fire,Alison Lohman,Omar Benson Miller,Robin Weigert
Kenneth Johnson,Action Crime Sci-Fi,steel,Charles Napier,Annabeth Gish,Hill Harper
James Gray,Drama Romance,the immigrant,Jeremy Renner,Dagmara Dominczyk,Angela Sarafyan
James Ivory,Drama History Romance War,the white countess,Vanessa Redgrave,Natasha Richardson,Lynn Redgrave
Danny Boyle,Crime Drama Mystery Thriller,trance,Rosario Dawson,Spencer Wilding,Tuppence Middleton
Jessy Terrero,Comedy,soul plane,Mo'Nique,Snoop Dogg,Tom Arnold
Dany Boon,Comedy Romance,welcome to the sticks,Dany Boon,Kad Merad,Michel Galabru
Vicente Amorim,Drama Romance War,good,Viggo Mortensen,Jodie Whittaker,Steven Mackintosh
Gaspar Noé,Drama Fantasy,enter the void,Paz de la Huerta,Emily Alyn Lind,Olly Alexander
Amy Heckerling,Comedy Horror Romance,vamps,Taylor Negron,Justin Kirk,Ivan Sergei
Lasse Hallström,Drama Family,hachi: a dog's tale,Cary-Hiroyuki Tagawa,Sarah Roemer,Joan Allen
Jérôme Salle,Crime Drama Thriller,zulu,Orlando Bloom,Tanya van Graan,Conrad Kemp
Tommy Lee Jones,Drama Western,the homesman,Barry Corbin,Tim Blake Nelson,Miranda Otto
Jesse Vaughan,Comedy Drama Romance Sport,juwanna mann,Vivica A. Fox,Jenifer Lewis,Kevin Pollak
unknown,Comedy Crime Drama,lilyhammer            ,Steven Van Zandt,Trond Fausa,Tommy Karlsen
Atom Egoyan,Drama War,ararat,David Alpay,Marie-Josée Croze,Charles Aznavour
William Bindley,Drama Sport,madison,Bruce Dern,Jake Lloyd,William Shockley
Wayne Beach,Drama Mystery Thriller,slow burn,Mekhi Phifer,LL Cool J,Fisher Stevens
Gérard Krawczyk,Action Comedy Crime Drama Thriller,wasabi,Carole Bouquet,Ryôko Hirosue,Michel Muller
James Gunn,Comedy Horror Sci-Fi,slither,Dustin Milligan,Gregg Henry,Tania Saulnier
Martin Brest,Action Comedy Crime,beverly hills cop,Judge Reinhold,Ronny Cox,James Russo
Chris Columbus,Comedy Family,home alone,Macaulay Culkin,Devin Ratray,Catherine O'Hara
Leonard Nimoy,Comedy Drama Family,3 men and a baby,Tom Selleck,Ted Danson,Steve Guttenberg
Sydney Pollack,Comedy Drama Romance,tootsie,Bill Murray,Sydney Pollack,Teri Garr
Tony Scott,Action Drama Romance,top gun,Tom Cruise,Tom Skerritt,Adrian Pasdar
Ang Lee,Action Drama Romance,"crouching tiger, hidden dragon",Chen Chang,Pei-Pei Cheng,Sihung Lung
Sam Mendes,Drama,american beauty,Kevin Spacey,Peter Gallagher,Ara Celi
Tom Hooper,Biography Drama History Romance,the king's speech,Colin Firth,Jennifer Ehle,Derek Jacobi
Ivan Reitman,Comedy Crime,twins,Kelly Preston,Tony Jay,Hugh O'Brian
unknown,Crime Drama Horror Mystery Thriller,scream: the tv series            ,Bex Taylor-Klaus,Bobby Campo,Jason Wiles
Udayan Prasad,Drama Romance,the yellow handkerchief,Kristen Stewart,Eddie Redmayne,William Hurt
Steven Spielberg,Drama,the color purple,Oprah Winfrey,Rae Dawn Chong,Dana Ivey
JK Youn,Action Comedy Drama Thriller,tidal wave,Nicole Dionne,Ji-won Ha,Kyung-gu Sol
Timur Bekmambetov,Adventure Drama History,ben-hur,Morgan Freeman,Ayelet Zurer,Moises Arias
Morten Tyldum,Biography Drama Thriller War,the imitation game,Benedict Cumberbatch,Rory Kinnear,Allen Leech
Howard Zieff,Comedy War,private benjamin,Eileen Brennan,Albert Brooks,Alan Oppenheimer
Michael Apted,Biography Drama Music Musical,coal miner's daughter,Sissy Spacek,Beverly D'Angelo,Levon Helm
Thor Freudenthal,Comedy Family,diary of a wimpy kid,Chloë Grace Moretz,Zachary Gordon,Rachael Harris
Andrés Muschietti,Fantasy Horror,mama,Javier Botet,Megan Charpentier,Isabelle Nélisse
John Carpenter,Horror Thriller,halloween,Jamie Lee Curtis,Donald Pleasence,P.J. Soles
Harold Ramis,Adventure Comedy,national lampoon's vacation,Beverly D'Angelo,Randy Quaid,Jane Krakowski
Jeff Tremaine,Comedy,bad grandpa,Jackson Nicoll,Georgina Cates,Grasie Mercedes
Stephen Frears,Biography Drama,the queen,Roger Allam,Sylvia Syms,Alex Jennings
Tim Burton,Comedy Fantasy,beetlejuice,Catherine O'Hara,Jeffrey Jones,Glenn Shadix
Tyler Perry,Comedy Drama,why did i get married?,Michael Jai White,Tasha Smith,Lamman Rucker
Gillian Armstrong,Drama Family Romance,little women,Christian Bale,Kirsten Dunst,Eric Stoltz
James Watkins,Drama Fantasy Horror Thriller,the woman in black,Daniel Radcliffe,Roger Allam,Jessica Raine
Simon West,Horror Thriller,when a stranger calls,Madeline Carroll,Tessa Thompson,Brian Geraghty
Shawn Levy,Adventure Comedy Family,big fat liar,Frankie Muniz,Donald Faison,Lee Majors
Michael Cimino,Drama War,the deer hunter,Robert De Niro,Meryl Streep,John Savage
Barry Levinson,Comedy Drama,wag the dog,Robert De Niro,Kirsten Dunst,John Michael Higgins
Jim Fall,Adventure Comedy Family Music Romance,the lizzie mcguire movie,Clayton Snyder,Adam Lamberg,Alex Borstein
Ric Roman Waugh,Action Drama Thriller,snitch,Dwayne Johnson,Harold Perrineau,Nadine Velazquez
Michael Dougherty,Comedy Fantasy Horror,krampus,Adam Scott,Conchata Ferrell,Allison Tolman
Robert Rodriguez,Horror Mystery Sci-Fi,the faculty,Jordana Brewster,Salma Hayek,Clea DuVall
Brian Gibson,Biography Drama Music,what's love got to do with it,Rae'Ven Kelly,Virginia Capers,Dororthy Thorton
James Mangold,Crime Drama Thriller,cop land,Robert De Niro,Sylvester Stallone,Janeane Garofalo
Joel Gallen,Comedy,not another teen movie,Chris Evans,JoAnna Garcia Swisher,Mia Kirshner
David Ayer,Crime Drama Thriller,end of watch,Jake Gyllenhaal,Anna Kendrick,America Ferrera
Cameron Crowe,Comedy Drama Romance,aloha,Emma Stone,Bradley Cooper,Bill Murray
Rob Cohen,Action Crime Drama Thriller,the skulls,Paul Walker,Leslie Bibb,William Petersen
James Marsh,Biography Drama Romance,the theory of everything,Eddie Redmayne,Emily Watson,Simon McBurney
John Whitesell,Comedy Crime,malibu's most wanted,Greg Grunberg,Regina Hall,Blair Underwood
Matt Williams,Comedy Drama Romance,where the heart is,Natalie Portman,James Frain,Stockard Channing
David Lean,Adventure Biography Drama History War,lawrence of arabia,Claude Rains,José Ferrer,Jack Hawkins
Rob Zombie,Horror,halloween ii,Scout Taylor-Compton,Tyler Mane,Margot Kidder
Jean-Marc Vallée,Adventure Biography Drama,wild,Michiel Huisman,Kevin Rankin,Gaby Hoffmann
Dennis Iliadis,Crime Horror Thriller,the last house on the left,Tony Goldwyn,Monica Potter,Martha MacIsaac
Clare Kilner,Comedy Romance,the wedding date,Jack Davenport,Debra Messing,Holland Taylor
Rick Rosenthal,Comedy Horror Thriller,halloween: resurrection,Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich
Louis Leterrier,Action Adventure Fantasy,clash of the titans,Liam Neeson,Jason Flemyng,Alexa Davalos
Rob Reiner,Adventure Family Fantasy Romance,the princess bride,Robin Wright,Carol Kane,André the Giant
Denzel Washington,Biography Drama,the great debaters,Denzel Washington,Jurnee Smollett-Bell,John Heard
Nicolas Winding Refn,Crime Drama,drive,Ryan Gosling,Albert Brooks,Russ Tamblyn
Sara Sugarman,Comedy Family Music Romance,confessions of a teenage drama queen,Adam Garcia,Carol Kane,Glenne Headly
Nicholas Hytner,Comedy Drama Romance,the object of my affection,Liam Aiken,Tim Daly,Kali Rocha
Juan Carlos Fresnadillo,Drama Horror Sci-Fi,28 weeks later,Jeremy Renner,Harold Perrineau,Catherine McCormack
Thomas Carter,Drama Family Sport,when the game stands tall,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain
Wayne Wang,Comedy Drama Family,because of winn-dixie,Cicely Tyson,Luke Benward,Eva Marie Saint
Gina Prince-Bythewood,Drama Romance Sport,love & basketball,Alfre Woodard,Sanaa Lathan,Omar Epps
George Armitage,Action Comedy Crime Romance Thriller,grosse pointe blank,Minnie Driver,Michael Cudlitz,Mitchell Ryan
Phil Traill,Comedy Romance,all about steve,Bradley Cooper,Katy Mixon,Beth Grant
Joe Berlinger,Adventure Fantasy Horror Mystery Thriller,book of shadows: blair witch 2,Kim Director,Erica Leerhsen,Kurt Loder
Andrew Fleming,Drama Fantasy Horror Thriller,the craft,Christine Taylor,Rachel True,Brenda Strong
Woody Allen,Drama Romance Thriller,match point,Scarlett Johansson,Mark Gatiss,Penelope Wilton
Elizabeth Allen Rosenbaum,Adventure Comedy Family Fantasy,ramona and beezus,Sierra McCormick,Hutch Dano,Jason Spevack
James Ivory,Drama Romance,the remains of the day,Anthony Hopkins,Peter Vaughan,Ben Chaplin
Paul Thomas Anderson,Drama,boogie nights,Don Cheadle,Nicole Ari Parker,Nina Hartley
Robert Harmon,Action Crime Drama Romance Thriller,nowhere to run,Kieran Culkin,Rosanna Arquette,Joss Ackland
Michael Mayer,Adventure Drama Family,flicka,Alison Lohman,Danny Pino,Tim McGraw
Martin Weisz,Horror,the hills have eyes ii,Jeff Kober,Daniella Alonso,Jacob Vargas
John Ottman,Horror Mystery Thriller,urban legends: final cut,Loretta Devine,Joey Lawrence,Jacinda Barrett
Jay Russell,Drama Family Fantasy Romance,tuck everlasting,William Hurt,Sissy Spacek,Jonathan Jackson
John Bonito,Action Drama Thriller,the marine,Kelly Carlson,Firass Dirani,Drew Powell
Peter Atencio,Action Comedy,keanu,Nia Long,Will Forte,Keegan-Michael Key
Shana Feste,Drama Music,country strong,Leighton Meester,Cinda McCain,Tim McGraw
David Nutter,Horror Mystery Sci-Fi Thriller,disturbing behavior,Bruce Greenwood,Ethan Embry,Katharine Isabelle
Derek Cianfrance,Crime Drama Thriller,the place beyond the pines,Ryan Gosling,Ben Mendelsohn,Angelo Anthony Pizza
Roger Donaldson,Action Crime Thriller,the november man,Luke Bracey,Akie Kotabe,Will Patton
Stephan Elliott,Drama Mystery Thriller,eye of the beholder,Jason Priestley,Patrick Bergin,Geneviève Bujold
Kathryn Bigelow,Drama History Thriller War,the hurt locker,Jeremy Renner,Christian Camargo,Brian Geraghty
Mark L. Lester,Action Horror Sci-Fi Thriller,firestarter,Heather Locklear,George C. Scott,David Keith
Andrew Dominik,Crime Thriller,killing them softly,Brad Pitt,Sam Shepard,Ben Mendelsohn
Anton Corbijn,Crime Drama Thriller,a most wanted man,Philip Seymour Hoffman,Nina Hoss,Homayoun Ershadi
Tom Green,Comedy,freddy got fingered,Rip Torn,Harland Williams,Eddie Kaye Thomas
Mike Nawrocki,Adventure Animation Comedy Family,the pirates who don't do anything: a veggietales movie,Yuri Lowenthal,Cam Clarke,Phil Vischer
Catherine Owens,Documentary Music,u2 3d,Bono,The Edge,Larry Mullen Jr.
Douglas Aarniokoski,Action Adventure Fantasy Sci-Fi,highlander: endgame,Christopher Lambert,Adrian Paul,Adam Copeland
Bryan Barber,Crime Drama Musical Romance,idlewild,Cicely Tyson,Faizon Love,Bobb'e J. Thompson
Lone Scherfig,Drama Romance,one day,Anne Hathaway,Jim Sturgess,Rafe Spall
Drew Barrymore,Drama Sport,whip it,Daniel Stern,Jimmy Fallon,Alia Shawkat
Brian Koppelman,Crime Drama Thriller,knockaround guys,Vin Diesel,Tom Noonan,Kevin Gage
James Foley,Crime Thriller,confidence,Louis Lombardi,Brian Van Holt,Leland Orser
Albert Brooks,Comedy,the muse,Jeff Bridges,Bradley Whitford,Albert Brooks
Irwin Winkler,Biography Drama Music Musical,de-lovely,Kevin McNally,Keith Allen,Sandra Nelson
Woody Allen,Comedy Drama Romance,new york stories,Woody Allen,Larry David,Mia Farrow
Steve Gomer,Adventure Family,barney's great adventure,Trevor Morgan,Kyla Pratt,Shirley Douglas
RZA,Action,the man with the iron fists,Rick Yune,RZA,Daniel Wu
Dean Parisot,Comedy Drama Romance,home fries,Catherine O'Hara,Jake Busey,Shelley Duvall
Mark Piznarski,Drama Romance,here on earth,Bruce Greenwood,Chris Klein,Elaine Hendrix
Terry Gilliam,Drama Sci-Fi,brazil,Robert De Niro,Bob Hoskins,Jim Broadbent
Sean McNamara,Family Music Romance,raise your voice,Oliver James,Rebecca De Mornay,Jason Ritter
unknown,Drama Fantasy Mystery Sci-Fi,the dead zone            ,David Ogden Stiers,Nicole de Boer,Chris Bruno
Joel Coen,Comedy Crime,the big lebowski,Philip Seymour Hoffman,Jeff Bridges,Steve Buscemi
Craig Brewer,Drama Music,black snake moan,Justin Timberlake,Michael Raymond-James,S. Epatha Merkerson
Ron Shelton,Crime Drama Romance Thriller,dark blue,Khandi Alexander,Dash Mihok,Michael Michele
Michael Winterbottom,Biography Drama History Thriller War,a mighty heart,Angelina Jolie Pitt,Archie Panjabi,Dan Futterman
David Raynr,Comedy Drama Romance,whatever it takes,James Franco,Jodi Lyn O'Keefe,Marla Sokoloff
Mort Nathan,Comedy,boat trip,Vivica A. Fox,Lin Shaye,Bob Gunton
Oliver Parker,Comedy Drama Romance,the importance of being earnest,Colin Firth,Tom Wilkinson,Rupert Everett
Dan Curtis,Fantasy Romance,the love letter,Jennifer Jason Leigh,Campbell Scott,Estelle Parsons
Wil Shriner,Adventure Comedy Family,hoot,Logan Lerman,Neil Flynn,Tim Blake Nelson
